fichier,avant_KB,apres_KB,gain,action
2020\08\L1001467.jpg,15083,462,97%,compressed
2020\08\L1001473-1.jpg,13447,438,97%,compressed
2020\08\L1001476.jpg,11961,476,96%,compressed
2020\08\L1008169.jpg,1039,114,89%,compressed
2020\08\L2404277.jpg,9251,182,98%,compressed
2020\08\Plan-partiel-daffectation-1-1-pdf.jpg,1013,290,71%,compressed
2020\08\Plan-partiel-daffectation-1-pdf.jpg,1013,290,71%,compressed
2020\08\SILL_Rapport_activite_2019_COMPLET-pdf.jpg,770,1403,-82%,compressed
2020\09\Prix-bilan1bis.jpg,581,353,39%,compressed
2020\09\Prix-bilan1ter.jpg,581,351,40%,compressed
2020\09\Prix-biléan-2.jpg,526,307,42%,compressed
2020\09\Prix.jpg,576,350,39%,compressed
2020\12\Carte-de-voeux-2021_PL_20201218_02.jpg,1147,440,62%,compressed
2021\01\PPE-ext-copie.jpg,7061,742,89%,compressed
2021\01\PPE-int-copie.jpg,5302,521,90%,compressed
2021\03\210225_PDLPU_Image.jpg,2375,537,77%,compressed
2021\03\AccA¨s-axe-entre-PUA-et-PUB_02-1536x2048.jpg,588,491,16%,compressed
2021\03\AccA¨s-axe-entre-PUA-et-PUB_02-scaled.jpg,885,514,42%,compressed
2021\03\AccA¨s-axe-entre-PUA-et-PUB_02.jpg,3327,566,83%,compressed
2021\03\Capture-decran-2021-03-24-a-11.28.32-1024x681.png,1267,137,89%,PNG->JPG
2021\03\Capture-decran-2021-03-24-a-11.28.32-1038x576.png,1078,117,89%,PNG->JPG
2021\03\Capture-decran-2021-03-24-a-11.28.32-768x511.png,710,79,89%,PNG->JPG
2021\03\Capture-decran-2021-03-24-a-11.28.32.png,2830,307,89%,PNG->JPG
2021\03\PUA-depuis-le-nord.jpg,858,152,82%,compressed
2021\03\PUB-depuis-Retraites-Populaires-2048x1592.jpg,538,457,15%,compressed
2021\03\PUB-depuis-Retraites-Populaires-scaled.jpg,784,475,39%,compressed
2021\03\PUB-depuis-Retraites-Populaires.jpg,1726,510,70%,compressed
2021\04\Header-PPE4.jpg,5420,85,98%,compressed
2021\07\2021.05.18_MAA_PlainesDuLoup_FR_Cam_SILL_009-1536x1137.jpg,626,297,52%,compressed
2021\07\2021.05.18_MAA_PlainesDuLoup_FR_Cam_SILL_009-2048x1516.jpg,941,456,51%,compressed
2021\07\2021.05.18_MAA_PlainesDuLoup_FR_Cam_SILL_009-scaled.jpg,1368,476,65%,compressed
2021\07\2021.05.18_MAA_PlainesDuLoup_FR_Cam_SILL_009.jpg,11728,524,96%,compressed
2021\07\212686_SILL_Rapport_Annuel_Web_LowRes-pdf.jpg,969,1801,-86%,compressed
2021\07\Natureenville-725x1024.png,729,98,87%,PNG->JPG
2021\07\Natureenville-768x1085.png,816,107,87%,PNG->JPG
2021\07\Natureenville-850x576.png,692,77,89%,PNG->JPG
2021\07\Natureenville.png,1263,139,89%,PNG->JPG
2021\07\Plan-fiches-672x372.png,567,78,86%,PNG->JPG
2021\07\Plan-fiches.png,772,110,86%,PNG->JPG
2021\09\Header-PPE_teaser.jpg,884,37,96%,compressed
2021\11\Header-PPE_lancement.jpg,3731,74,98%,compressed
2021\11\Vue-Face-Sud-Est-2048x1448.jpg,589,391,34%,compressed
2021\11\Vue-Face-Sud-Est-scaled.jpg,878,404,54%,compressed
2021\11\Vue-Face-Sud-Est.jpg,6660,429,94%,compressed
2021\11\Vue-Interieur-N3-scaled.jpg,541,266,51%,compressed
2021\11\Vue-Interieur-N3.jpg,3336,280,92%,compressed
2022\05\Header-chantier-PDL.jpg,6016,100,98%,compressed
2022\05\PHOTO-2022-05-09-15-21-32.jpg,628,659,-5%,compressed
2022\09\PHOTO-2022-09-14-20-19-11.jpg,515,478,7%,compressed
2022\11\Rapport-dactivite-2021_SILL-pdf.jpg,610,1047,-72%,compressed
